Scenario_Model,AUC_mean,AUC_std,Sensitivity,Specificity,F1,BalancedAcc,Class0_F1,Class1_F1
RadOnly_FocalTversky_Top10__GaussianNB,0.3805555555555556,0.2154524381073924,0.04878048780487805,1.0,0.09302325581395349,0.524390243902439,0.45070422535211263,0.09302325581395349
RadOnly_FocalTversky_Top50__XGBoost,0.37847222222222227,0.10087388226620797,0.7073170731707317,0.375,0.725,0.5411585365853658,0.35294117647058826,0.725
RadOnly_BCEFocalTversky_Top50__XGBoost,0.3781084656084656,0.16095274838288456,0.7804878048780488,0.25,0.7529411764705882,0.5152439024390244,0.27586206896551724,0.7529411764705882
RadOnly_GDice_Top10__GaussianNB,0.3776785714285714,0.14839877173432053,1.0,0.0625,0.8453608247422679,0.53125,0.11764705882352941,0.8453608247422679
RadOnly_Focal_Top10__LogisticRegression,0.3770833333333333,0.07555095982755082,0.21951219512195122,0.875,0.34615384615384615,0.5472560975609756,0.4516129032258065,0.34615384615384615
RadOnly_GDice_Top10__LogisticRegression,0.3687169312169313,0.22315426392700713,0.8048780487804879,0.3125,0.7764705882352942,0.5586890243902439,0.3448275862068966,0.7764705882352942
RadOnly_Tversky_Top20__XGBoost,0.3650462962962963,0.12398334853239729,0.07317073170731707,1.0,0.13636363636363635,0.5365853658536586,0.45714285714285713,0.13636363636363635
RadOnly_BCEFocalTversky_Top10__GaussianNB,0.36412037037037037,0.20161439056489303,0.0975609756097561,1.0,0.17777777777777776,0.5487804878048781,0.463768115942029,0.17777777777777776
RadOnly_GDice_Top20__XGBoost,0.3622850529100529,0.1643648958712869,0.9512195121951219,0.1875,0.8387096774193549,0.569359756097561,0.2857142857142857,0.8387096774193549
RadOnly_Tversky_Top50__XGBoost,0.35486111111111107,0.1659184594467571,0.9512195121951219,0.125,0.8297872340425531,0.538109756097561,0.2,0.8297872340425531
RadOnly_Dice_Top50__XGBoost,0.32533068783068786,0.21493695539803853,0.9512195121951219,0.125,0.8297872340425531,0.538109756097561,0.2,0.8297872340425531
RadOnly_Dice_Top10__XGBoost,0.3251157407407407,0.1744195682408438,1.0,0.0625,0.8453608247422679,0.53125,0.11764705882352941,0.8453608247422679
RadOnly_Focal_Top20__XGBoost,0.3085648148148148,0.2056092480759945,0.9024390243902439,0.1875,0.8131868131868132,0.5449695121951219,0.26086956521739124,0.8131868131868132
RadOnly_Focal_Top50__XGBoost,0.3071428571428571,0.1767116558754612,0.9512195121951219,0.125,0.8297872340425531,0.538109756097561,0.2,0.8297872340425531
